"AccessionID","Location"
"EPI_ISL_507000","WP Kuala Lumpur"
"EPI_ISL_455312","Pahang"
"EPI_ISL_455313","Pahang"
"EPI_ISL_1318203","Sarawak"
"EPI_ISL_1318204","Sarawak"
"EPI_ISL_1318205","Sarawak"
"EPI_ISL_1318206","Sarawak"
"EPI_ISL_1318207","Sarawak"
"EPI_ISL_1318208","Sarawak"
"EPI_ISL_1318209","Sarawak"
"EPI_ISL_1318210","Sarawak"
"EPI_ISL_1318211","Sarawak"
"EPI_ISL_1318212","Sarawak"
"EPI_ISL_1318213","Sarawak"
"EPI_ISL_1318214","Sarawak"
"EPI_ISL_1318215","Sarawak"
"EPI_ISL_1318216","Sarawak"
"EPI_ISL_1318217","Sarawak"
"EPI_ISL_1318218","Sarawak"
"EPI_ISL_1318219","Sarawak"
"EPI_ISL_1334365","Sarawak"
"EPI_ISL_1363119","Sarawak"
"EPI_ISL_1363120","Sarawak"
"EPI_ISL_1363121","Sarawak"
"EPI_ISL_1363122","Sarawak"
"EPI_ISL_1363123","Sarawak"
"EPI_ISL_718132","Sarawak"
"EPI_ISL_718133","Sarawak"
"EPI_ISL_718134","Sarawak"
"EPI_ISL_718135","Sarawak"
"EPI_ISL_718136","Sarawak"
"EPI_ISL_718137","Sarawak"
"EPI_ISL_718138","Sarawak"
"EPI_ISL_718139","Sarawak"
"EPI_ISL_718140","Sarawak"
"EPI_ISL_718141","Sarawak"
"EPI_ISL_718142","Sarawak"
"EPI_ISL_718143","Sarawak"
"EPI_ISL_718144","Sarawak"
"EPI_ISL_718145","Sarawak"
"EPI_ISL_718146","Sarawak"
"EPI_ISL_718147","Sarawak"
"EPI_ISL_718148","Sarawak"
"EPI_ISL_718149","Sarawak"
"EPI_ISL_718150","Sarawak"
"EPI_ISL_718151","Sarawak"
"EPI_ISL_718152","Sarawak"
"EPI_ISL_718153","Sarawak"
"EPI_ISL_718154","Sarawak"
"EPI_ISL_718155","Sarawak"
"EPI_ISL_718156","Sarawak"
"EPI_ISL_718157","Sarawak"
"EPI_ISL_718158","Sarawak"
"EPI_ISL_718159","Sarawak"
"EPI_ISL_718160","Sarawak"
"EPI_ISL_718161","Sarawak"
"EPI_ISL_718162","Sarawak"
"EPI_ISL_718163","Sarawak"
"EPI_ISL_718164","Sarawak"
"EPI_ISL_718165","Sarawak"
"EPI_ISL_718166","Sarawak"
"EPI_ISL_718167","Sarawak"
"EPI_ISL_718168","Sarawak"
"EPI_ISL_718169","Sarawak"
"EPI_ISL_718170","Sarawak"
"EPI_ISL_718171","Sarawak"
"EPI_ISL_718172","Sarawak"
"EPI_ISL_718173","Sarawak"
"EPI_ISL_718174","Sarawak"
"EPI_ISL_718175","Sarawak"
"EPI_ISL_718176","Sarawak"
"EPI_ISL_718177","Sarawak"
"EPI_ISL_718178","Sarawak"
"EPI_ISL_718179","Sarawak"
"EPI_ISL_718180","Sarawak"
"EPI_ISL_718181","Sarawak"
"EPI_ISL_718182","Sarawak"
"EPI_ISL_718183","Sarawak"
"EPI_ISL_718184","Sarawak"
"EPI_ISL_718185","Sarawak"
"EPI_ISL_718186","Sarawak"
"EPI_ISL_718187","Sarawak"
"EPI_ISL_718188","Sarawak"
"EPI_ISL_718189","Sarawak"
"EPI_ISL_718190","Sarawak"
"EPI_ISL_718191","Sarawak"
"EPI_ISL_718192","Sarawak"
"EPI_ISL_718193","Sarawak"
"EPI_ISL_718194","Sarawak"
"EPI_ISL_718195","Sarawak"
"EPI_ISL_718196","Sarawak"
"EPI_ISL_718197","Sarawak"
"EPI_ISL_718198","Sarawak"
"EPI_ISL_718199","Sarawak"
"EPI_ISL_718200","Sarawak"
"EPI_ISL_718201","Sarawak"
"EPI_ISL_718202","Sarawak"
"EPI_ISL_718203","Sarawak"
"EPI_ISL_718204","Sarawak"
"EPI_ISL_718205","Sarawak"
"EPI_ISL_718206","Sarawak"
"EPI_ISL_718207","Sarawak"
"EPI_ISL_718208","Sarawak"
"EPI_ISL_718209","Sarawak"
"EPI_ISL_718210","Sarawak"
"EPI_ISL_718211","Sarawak"
"EPI_ISL_718212","Sarawak"
"EPI_ISL_718213","Sarawak"
"EPI_ISL_718214","Sarawak"
"EPI_ISL_718215","Sarawak"
"EPI_ISL_718216","Sarawak"
"EPI_ISL_718217","Sarawak"
"EPI_ISL_718218","Sarawak"
"EPI_ISL_718219","Sarawak"
"EPI_ISL_718220","Sarawak"
"EPI_ISL_718221","Sarawak"
"EPI_ISL_718222","Sarawak"
"EPI_ISL_1672633","Negeri Sembilan"
"EPI_ISL_1673257","Sabah"
"EPI_ISL_1673280","Johor"
"EPI_ISL_1673283","Johor"
"EPI_ISL_1673284","Johor"
"EPI_ISL_1673287","Selangor"
"EPI_ISL_1673288","Johor"
"EPI_ISL_1673293","Selangor"
"EPI_ISL_1673296","Selangor"
"EPI_ISL_1673299","Selangor"
"EPI_ISL_1673304","Selangor"
"EPI_ISL_1673307","Selangor"
"EPI_ISL_1673309","Johor"
"EPI_ISL_1673332","Selangor"
