VirusName,AccID,OriginLab,SubmittingLab,Authors
hCoV-19/Malaysia/IMR_WC105194/2021,EPI_ISL_1406244,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC106320/2021,EPI_ISL_1406247,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC106331/2021,EPI_ISL_1406250,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC105307/2021,EPI_ISL_1406274,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC106795/2021,EPI_ISL_1406277,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC103989/2021,EPI_ISL_1406281,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC106956/2021,EPI_ISL_1406286,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC104486/2021,EPI_ISL_1406292,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC107542/2021,EPI_ISL_1406294,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WPM015/2021,EPI_ISL_1424064,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WPM006/2021,EPI_ISL_1424065,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC105934/2021,EPI_ISL_1424130,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC107101/2021,EPI_ISL_1424143,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC107215/2021,EPI_ISL_1424466,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC114583/2021,EPI_ISL_1424467,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC113107/2021,EPI_ISL_1424468,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC112952/2021,EPI_ISL_1424470,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC112765/2021,EPI_ISL_1424471,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC112572/2021,EPI_ISL_1424510,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC118251/2021,EPI_ISL_1424513,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/IMR_WC75495/2021,EPI_ISL_1424518,IMR,IMR,"Suppiah J, Kamel K, Thayan R"
hCoV-19/Malaysia/MGI-DNALAB1/2020,EPI_ISL_1435783,DNALAB Sdn Bhd,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Wong Yong Wee, Nor Azfa Johari."
hCoV-19/Malaysia/MGI-DNALAB3/2020,EPI_ISL_1435785,DNALAB Sdn Bhd,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Wong Yong Wee, Nor Azfa Johari."
hCoV-19/Malaysia/MGI-DNALAB5/2020,EPI_ISL_1435787,DNALAB Sdn Bhd,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Wong Yong Wee, Nor Azfa Johari."
hCoV-19/Malaysia/MGI-DNALAB7/2020,EPI_ISL_1435789,DNALAB Sdn Bhd,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Wong Yong Wee, Nor Azfa Johari."
hCoV-19/Malaysia/MGI-DNALAB8/2020,EPI_ISL_1435791,DNALAB Sdn Bhd,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Wong Yong Wee, Nor Azfa Johari."
hCoV-19/Malaysia/MGI-DNALAB9/2020,EPI_ISL_1435792,DNALAB Sdn Bhd,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Wong Yong Wee, Nor Azfa Johari."
hCoV-19/Malaysia/MGI-DNALAB11/2020,EPI_ISL_1435794,DNALAB Sdn Bhd,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Wong Yong Wee, Nor Azfa Johari."
hCoV-19/Malaysia/MGI-DNALAB12/2020,EPI_ISL_1435796,DNALAB Sdn Bhd,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Wong Yong Wee, Nor Azfa Johari."
hCoV-19/Malaysia/MGI-DNALAB15/2020,EPI_ISL_1435798,DNALAB Sdn Bhd,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Wong Yong Wee, Nor Azfa Johari."
hCoV-19/Malaysia/MGI-DNALAB16/2020,EPI_ISL_1435800,DNALAB Sdn Bhd,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Wong Yong Wee, Nor Azfa Johari."
hCoV-19/Malaysia/MGI-MGI46/2021,EPI_ISL_1435802,MGVI,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Nor Azfa Johari."
